Spanish,English
el/la,she
de,of
que,that
y,and
en,in
un,a
ser,be
a,a
él,the
lo,it
no,No
su,its
haber,to have
con,with
por,by
para,for
mí,my
lo,it
tener,to have
como,What
estar,be
me,I
más,plus
este,this
le,you
hacer,do
se,I know
yo,me
o,either
pero,but
decir,tell
poder,can
ir,to go
ese,that
otro,other
si,Yes
mi,me
ver,watch
ya,Already
porque,because
mucho,much
dar,to give
muy,very
saber,to know
sí,Yes
año,year
ti,you
te,tea
también,also
qué,what
alguno,some
nos,us
tu,your
sin,without
mismo,same
eso,it's
cuando,when
querer,want
vez,time
hasta,until
la,the
sobre,on
entre,Come in
dos,two
día,day
grande,great
así,So
pasar,spend
cosa,stuff
desde,since
deber,have to
ella,she
pues,well
entonces,then
llegar,get
poco,little bit
nuestro,our
bien,right
ni,neither
tiempo,weather
ahora,now
primero,first
creer,believe
donde,where
vida,life
dejar,let
nada,any
tanto,so much
parecer,look
hablar,speak
poner,put
parte,part
eh,Hey
nuevo,new
sólo,single
siempre,forever
hombre,men
bueno,Okay
seguir,continue
quedar,stay
llevar,wear
encontrar,find
bueno,Okay
tan,so
pensar,to think
casa,House
cada,each
persona,person
país,country
algo,something
esto,this
volver,return
usted,you
salir,leave
después,after
mejor,better
menos,less
venir,to come
forma,form
mujer,woman
momento,moment
llamar,to call
mundo,world
claro,Sure
mirar,look at
medios,media
mientras,while
conocer,know
aquel,that
aquí,here
aunque,though
quien,who
tomar,drink
tres,three
mano,hand
sentir,feel
gente,people
cuándo,when
durante,during
hijo,son
tratar,treat
vivir,to live
sino,otherwise
lugar,place
problema,issue
hacia,towards
presidente,President
cual,which
junto,together
luego,later
cómo,What
trabajo,worked
caso,case
mayor,elderly
además,what's more
acercar,zoom in
esperar,expect
nunca,never
cierto,certain
hora,hour
dónde,where
padre,dad
gustar,like
noche,night
nosotros,us
casi,almost
hoy,today
tipo,Type
ojo,eye
manera,way
importante,important
contar,count
niño,little boy
trabajar,to work
empezar,start
verdad,TRUE
contra,against
ciudad,city
buscar,Search
ahí,there
solo,only
fin,finish
propio,own self
tú,your
gobierno,government
historia,history
ejemplo,example
último,latest
punto,point
antes,before
mil,one thousand
palabra,word
obra,construction site
existir,exist
perder,lose
cuenta,bill
allí,over there
escribir,to write
cualquiera,any
grupo,cluster
señor,mister
pequeño,little
embargo,embargo
agua,Water
realizar,realize
nadie,no one
entrar,get in
arte,art
leer,read
amigo,dude
recordar,to remember
morir,To die
único,unique
lado,side
nombre,Name
recibir,to receive
pedir,ask
permitir,allow
preguntar,to ask
social,Social
sistema,system
tal,such
segundo,second
ante,in view of
viejo,old
madre,mother
siglo,century
nacional,national
entender,to understand
libro,book
alto,tall
